"","Roubo e Furto","Colisão Parcial","Colisão Perda Total","Incêndio","Assistência 24H","Compreensivo"
"002105-9",980.78,125.3,667.84,0,116.29,1890.21
"002106-7",282.73,656.47,825.68,0,84.64,1849.52
"002107-5",1206.44,1714.51,1429.9,0,536.74,4887.59
"002108-3",889.87,1523.97,1392.24,0,575.14,4381.22
"002109-1",3284.22,5112.64,3708.29,39.21,2014.24,14158.6
"002110-5",1641.08,705.86,1228.79,0,205.18,3780.91
"002111-3",8236.22,13773.84,10276.31,159.74,5515.73,37961.84
"002112-1",1622.08,3528.15,2391.82,3.4,1170.93,8716.38
"002113-0",345.22,915.35,1536.47,0,431.85,3228.89
"002114-8",1635.21,1706.18,1206.75,40.72,220.51,4809.37
"002115-6",1522.33,2471.09,2004.33,0,880.63,6878.38
"002116-4",1541.93,973.72,2225.22,26.45,559.37,5326.69
"002117-2",781.76,1856.92,2581.81,0,229.34,5449.83
"002118-0",162.2,905.28,2900.57,0,112.44,4080.49
"002119-9",2840.8,1717.05,2821.87,9.07,639.44,8028.23
"002120-2",1360.45,303.4,2476.64,0,35.72,4176.21
"002121-0",190.04,398.81,171.21,85.56,237.85,1083.47
"002122-9",1369.05,4226.98,2546.55,1.78,1549.39,9693.75
"002123-7",1129.21,2733.52,1504.81,0,1434.72,6802.26
"002124-5",488.93,2081.84,1172.45,0,737.28,4480.5
"002125-3",1005.57,2427.9,1638.17,52.68,767.97,5892.29
"002126-1",922.7,2729.74,1633.25,35.19,1258.71,6579.59
"002127-0",1013.15,3105.77,1974.72,69.75,1563.47,7726.86
"002128-8",678.73,441.03,1381.87,0,132.39,2634.02
"002129-6",102.56,1841.14,1041.69,0,525.46,3510.85
"002130-0",676.55,2698.25,2232.76,26.49,644.25,6278.3
"002131-8",401.46,1487.92,791.15,0,372.65,3053.18
"002132-6",668.12,2215.47,926.46,2.09,684.11,4496.25
"002133-4",609.56,1537.06,1056.4,0,475.62,3678.64
"002134-2",0,492.38,458.17,0,94.24,1044.79
"002135-0",359.96,1721.05,941.77,0,622.25,3645.03
"002136-9",2068.49,1230.88,934.04,0,292.21,4525.62
"002137-7",3371.48,1655.75,2350.97,0,1060.81,8439.01
"002138-5",0,1373.75,292.16,0,477.62,2143.53
"002139-3",3781.15,4683.03,2007.66,0,1704.46,12176.3
"002139-9",0,0,0,0,0,0
"002140-7",906.49,2779.49,1460.44,85.2,341.03,5572.65
"002141-1",0,3557.81,0,0,0,3557.81
"002141-5",14328.17,11099.95,12577.26,60.05,1882.33,39947.76
"002142-3",1745.86,2373.91,2600.98,0,556.68,7277.43
"002143-1",10527.96,7193.46,8063.31,79.54,1706.16,27570.43
"002144-0",473.13,1456.57,3362.35,0,314.69,5606.74
"002145-8",277.86,1131.79,1191.03,0,122,2722.68
"002146-6",12242.84,8474.56,10083.09,0,1658.29,32458.78
"002147-4",0,460.12,0,0,56.62,516.74
"002148-2",602.34,1596.86,618.53,0,661.24,3478.97
"002149-0",1032.15,3305.91,1791.39,0,925.99,7055.44
"002150-4",222.73,1741.96,1049.05,0,410.16,3423.9
"002151-2",842.94,3108.45,1320.85,0,759.96,6032.2
"002152-0",801.15,2941.44,1489.24,0,1094.03,6325.86
"002153-9",579.87,1704.57,743.15,0,506.66,3534.25
"002154-7",673.12,2288.29,1346.06,5.59,629.55,4942.61
"002155-5",556.21,862.21,275.52,0,145.76,1839.7
"002156-3",278.44,1364.54,434.89,0,278.33,2356.2
"002157-1",949,2860.98,1373.55,79.9,713.86,5977.29
"002158-0",604.01,1663.56,1516.46,145.98,191.19,4121.2
"002159-8",0,594.63,319.08,0,64.19,977.9
"002160-1",885.35,1287.75,967.83,0,162.62,3303.55
"002161-0",1269.55,1968.66,2332.69,0,379.96,5950.86
"002162-8",481.1,1696.65,566.66,0,398.57,3142.98
"002163-6",425.5,858.05,883.35,0,116.22,2283.12
"002164-4",342.25,1769.79,268.94,0,300.15,2681.13
"002165-2",233.75,1002.57,636.63,0,427.15,2300.1
"002166-0",7796.48,1659.75,4327.98,0,279.48,14063.69
"002167-9",226.39,600.73,0,0,75.93,903.05
"002168-7",1238.19,2866.06,2159.96,0,813.73,7077.94
"002169-5",1184.26,1886.17,515.23,0,718.56,4304.22
"002170-9",814.7,1830.25,770.51,0,587.59,4003.05
"002171-7",0,805.73,0,0,368.35,1174.08
"002172-5",516.7,2376.22,1319.5,0,698.91,4911.33
"002173-3",651.93,2738.55,477.51,0,634.64,4502.63
"002174-1",155.43,2481.9,1692.11,0,690.62,5020.06
"002175-0",1004.7,2124,971.77,0,628.5,4728.97
"002176-8",178.73,1406.74,800.87,0,350.36,2736.7
"002177-6",0,1774.58,6652.56,0,4.1,8431.24
"002178-4",0,466.91,0,0,37.86,504.77
"002179-2",0,0,0,0,0,0
"002180-6",0,0,0,0,0,0
"002403-3",0,0,0,0,0,0
"002427-7",0,0,0,0,0,0
"002466-6",0,0,0,0,0,0
"002474-4",0,0,0,0,0,0
"002480-0",0,0,0,0,0,0
"002590-0",0,0,0,0,0,0
"002773-3",0,0,0,0,0,0
"002803-3",0,0,0,0,0,0
"002906-6",0,0,0,0,0,0
"002910-0",0,0,0,0,0,0
"003001-5",0,68.7,93.51,0,104.86,267.07
"003002-3",0,10.65,127.39,0,179.88,317.92
"003003-1",135.88,51.42,164.16,141.33,49.97,542.76
"003004-0",148.32,43.17,382.76,0,87.53,661.78
"003005-8",73.67,10.86,120.52,0,204,409.05
"003006-6",45.33,26.89,161.03,0,110.06,343.31
"003007-4",79.99,37.17,95.46,0,70.88,283.5
"003008-2",54.33,13.84,89.98,0,119.5,277.65
"003009-0",0,0,0,0,63.11,63.11
"003010-4",0,0,0,0,0,0
"003011-2",0,0,0,0,0,0
"003012-0",449.7,363.44,909.92,0,64.73,1787.79
"003013-9",0,107.94,0,0,73.5,181.44
"003014-7",0,259.32,0,0,32.26,291.58
"003015-5",646.13,20.7,656.82,0,25.41,1349.06
"003016-3",14.92,35.05,260.36,0,269.44,579.77
"003017-1",0,8.84,12.93,0,145.08,166.85
"003018-0",75.09,67.96,232.11,4.78,282.02,661.96
"003019-8",0,0,105.47,0,98.34,203.81
"003020-1",0,0,0,0,0,0
"003021-0",0,0,0,0,0,0
