"","Roubo e Furto","Colisão Parcial","Colisão Perda Total","Incêndio","Assistência 24H","Compreensivo"
"009209-6",0,5579.69,6031.53,3.29,279.84,11894.35
"009210-0",0,0,0,0,171.09,171.09
"009211-8",0,0,0,0,2267.5,2267.5
"009212-6",435.27,1820.46,3655.82,0,1541.99,7453.54
"009213-4",1052.3,2659.17,3012.19,86.92,1734.97,8545.55
"009214-2",0,3137.77,313.56,0,548.44,3999.77
"009215-0",479.38,1761.35,2505.1,0,820.66,5566.49
"009216-9",909.32,2242.22,548.92,0,972.94,4673.4
"009217-7",1523.46,2211.5,609.86,0,3192.66,7537.48
"009218-5",0,7418.96,0,0,574.56,7993.52
"009219-3",0,1883.65,26605.01,0,647.8,29136.46
"009220-7",0,2171.87,0,0,166.63,2338.5
"009221-5",0,3483.48,0,0,2798.26,6281.74
"009222-3",0,611.2,2608.22,0,23.05,3242.47
"009223-1",3388.8,783.68,3448.32,0,383.73,8004.53
"009224-0",0,3698.99,0,0,819.62,4518.61
"009225-8",0,1621.91,2448.43,0,690.71,4761.05
"009226-6",0,2263.96,1452.26,0,989.38,4705.6
"009227-4",0,647.95,2833.65,0,783.17,4264.77
"009228-2",0,3455.31,1249.16,0,368.67,5073.14
"009229-0",1484.31,3532.44,731,0,2170.84,7918.59
"009230-4",0,0,0,0,0,0
"009231-2",0,2642.77,1564.92,0,53.06,4260.75
"009232-0",0,9762.54,0,0,465.78,10228.32
"009233-9",0,0,0,0,0,0
"009234-7",0,2895.28,0,0,12513.73,15409.01
"009235-5",0,3437.88,0,0,8.74,3446.62
"009236-3",0,1089.02,0,0,1337.64,2426.66
"009237-1",0,1966.54,0,0,22.69,1989.23
"009238-0",0,0,0,0,372.63,372.63
"009239-8",0,1210.74,1469.88,0,5574.87,8255.49
"009240-1",0,898.7,0,0,469.98,1368.68
"009241-0",0,0,0,0,0,0
"009243-6",0,0,0,0,0,0
"009244-4",0,0,0,0,0,0
"009245-2",0,0,0,0,0,0
"009251-7",0,0,0,0,0,0
"009642- ",12234.4,5564.58,0,0,979.72,18778.7
"010001-3",0,0,520.11,0,102.88,622.99
"010002-1",0,0,0,0,77.25,77.25
"010003-0",0,0,0,0,987.62,987.62
"010004-8",0,0,0,0,0,0
"010005-6",0,0,0,0,89.82,89.82
"010006-4",0,0,0,0,143.98,143.98
"010007-2",265.84,0,0,575.02,71.06,911.92
"010008-0",0,0,0,0,160.14,160.14
"010009-9",0,0,0,0,0,0
"010010-2",0,47.74,709.74,0,31.89,789.37
"010011-0",0,0,0,0,0,0
"010013-7",0,0,0,0,54.14,54.14
"010014-4",0,0,0,0,0,0
"010014-5",0,0,0,0,72.79,72.79
"010015-3",0,0,0,0,216.55,216.55
"010016-1",0,0,0,0,295.28,295.28
"010019-6",0,0,0,0,42.92,42.92
"010021-8",363.74,0,367.15,0,49.93,780.82
"010022-6",100.54,115.39,572.15,0,139.54,927.62
"010023-4",0,0,1488.76,0,43.04,1531.8
"010024-2",0,226.86,806.16,0,26.08,1059.1
"010025-0",242.75,108.05,1065.03,0,343.23,1759.06
"010026-9",0,0,3233.48,0,27.09,3260.57
"010027-7",0,2072.68,0,0,3.38,2076.06
"010028-5",0,0,1685.09,0,44.69,1729.78
"010029-3",0,148.18,1779.36,0,64.63,1992.17
"010030-0",0,0,0,0,0,0
"010030-7",108.88,831.61,2747.34,0,819.62,4507.45
"010031-5",622.94,173.28,1217.52,0,79.32,2093.06
"010032-3",0,1362.77,1458.36,0,2079.4,4900.53
"01003256",0,0,0,0,4225.25,4225.25
"010033- ",0,0,0,0,0,0
"010033-1",1678.75,1865.36,878.07,0,553.41,4975.59
"010049-9",0,0,0,0,0,0
"010057-7",0,59.31,0,0,0,59.31
"010065-5",0,0,0,0,0,0
"010073-3",0,0,0,0,0,0
"010081-1",0,0,0,0,0,0
"010103-3",0,0,0,0,0,0
"010120-0",0,0,0,0,0,0
"010138-8",0,0,0,0,0,0
"010144-4",0,0,0,0,0,0
"010146-6",0,0,0,0,0,0
"010154-4",0,0,0,0,0,0
"010162-2",0,0,0,0,0,0
"010170-0",0,0,0,0,0,0
"010189-9",0,0,0,0,0,0
"010200-0",0,0,0,0,0,0
"010225-5",0,0,0,0,0,0
"010233-3",0,0,0,0,0,0
"010260-0",0,0,0,0,0,0
"010278-8",0,236.64,554.9,0,0,791.54
"010448-8",0,0,0,0,0,0
"010464-4",0,0,0,0,0,0
"010472-2",0,0,0,0,0,0
"010480-0",0,0,0,0,0,0
"010510-0",0,0,0,0,0,0
"010529-9",0,0,0,0,0,0
"010596-6",0,0,0,0,0,0
"010634-4",0,0,0,0,0,0
"010642-2",0,0,0,0,0,0
"010650-0",0,204.28,0,0,0,204.28
"010669-9",0,0,0,0,0,0
"010707-7",0,0,0,0,0,0
"010731-1",0,0,0,0,0,0
"010774-4",0,0,0,0,0,0
"010782-2",0,0,0,0,0,0
"010812-2",0,0,0,0,0,0
"010898-8",0,0,0,0,0,0
"010928-8",0,0,0,0,0,0
"011002-2",0,0,0,0,0,0
"011003-5",0,0,0,0,0,0
"011004-3",0,0,0,0,0,0
"011005-1",0,0,0,0,27.07,27.07
"011007-8",0,0,0,0,167.33,167.33
"011008-6",0,0,0,0,0,0
"011009-4",0,0,0,0,0,0
"011010-8",0,0,0,0,0,0
"011016-7",0,0,0,0,0,0
"011017-5",0,0,0,0,81.54,81.54
"011018-3",0,0,0,0,172.99,172.99
"011019-1",0,0,0,0,401.27,401.27
"011020-5",0,0,0,0,91.54,91.54
"011021-3",0,0,0,0,104.56,104.56
"011022-1",0,86.66,0,0,122.74,209.4
"011024-8",0,0,0,0,91.49,91.49
"011025-6",0,0,0,0,250.02,250.02
"011026-4",0,0,0,0,87.56,87.56
"011027-2",0,0,0,0,100.65,100.65
"011028-0",0,0,0,0,0,0
"011029-9",0,0,531.01,0,238.1,769.11
"011031-0",0,0,0,0,111.68,111.68
"011032-9",0,0,0,0,113.2,113.2
"011033-7",0,37.14,0,0,237.1,274.24
"011034-5",0,0,0,0,0,0
"011035-3",0,0,0,0,172.75,172.75
"011036-1",0,360.06,0,0,22.64,382.7
"011037-0",0,0,0,0,126.17,126.17
"011037-7",0,0,0,0,0,0
"011038-8",0,0,0,0,0,0
"011042-6",0,0,0,0,721.18,721.18
"011043-4",0,0,0,0,73.91,73.91
"011045-5",0,0,0,0,0,0
"011046-9",0,0,0,0,131,131
"011047-7",0,0,0,0,271.22,271.22
"011048-5",0,0,0,0,0,0
"011049-3",0,0,0,0,0,0
"011050-7",177.54,97.28,389.48,316.31,186.01,1166.62
"011051-5",0,0,0,0,119.23,119.23
"011052-3",0,0,0,0,0,0
"011053-1",0,0,0,0,129.07,129.07
"011054-0",0,0,0,0,101.44,101.44
"011055-8",0,0,0,0,118.77,118.77
"011056-6",0,0,0,0,0,0
"011057-4",0,0,0,0,78.44,78.44
"011058-2",0,0,0,0,0,0
"011059-0",0,0,0,232.27,54.18,286.45
"011060-4",0,0,0,0,116.71,116.71
"011061-1",0,0,0,0,0,0
"011061-2",0,0,0,0,14.17,14.17
"011062-0",0,0,0,0,93.05,93.05
"011063-9",220.2,172,463.47,0,447.97,1303.64
"011064-7",257.19,80.86,563.6,32.09,554.96,1488.7
"011065-5",0,1136.75,1161.88,832.83,22.04,3153.5
"011066-3",432.16,225.32,506.79,0,491.6,1655.87
"011067-1",0,0,0,0,86.62,86.62
"011068-0",0,0,0,0,0,0
"011069-8",1082.91,94.78,0,0,67.41,1245.1
"011070-0",0,0,2456.47,0,0,2456.47
"011070-1",304.92,155.59,419.94,0,386.4,1266.85
"011071-0",355.59,314.83,465.55,0,470.67,1606.64
"011072-8",1596.61,1775.04,2317.79,29.05,2338.51,8057
"011073-6",0,0,0,0,226.2,226.2
"011074-4",650.09,175.96,565.3,42.56,544.88,1978.79
"011075-2",409.2,144.78,573.54,0,563.63,1691.15
"011076-0",797.33,11.11,59.78,0,101.28,969.5
"011077-9",523.18,583.46,978.87,71.66,956.94,3114.11
"011078-7",0,0,275.34,0,120.77,396.11
"011079-5",215.98,370.15,532.4,78.37,440.22,1637.12
"011080-9",321.7,337.33,390.51,0,234.82,1284.36
"011081-7",619.72,680.32,1323.31,61.37,312.34,2997.06
"011082-5",180.24,398.89,773.95,0,393.18,1746.26
"011083-3",819.8,1047.13,1595.01,67.39,1265.16,4794.49
"011084-1",0,0,0,0,0,0
"011085-0",526.61,419.33,555.37,62.32,501.9,2065.53
"011086-8",749.63,555.27,1076.93,29.47,626.3,3037.6
"011087-6",830.84,644.19,841.5,101.7,273.66,2691.89
"011088-4",896.21,651.09,1048.23,151.12,901.68,3648.33
"011088-8",0,0,0,0,0,0
"011089-2",386.99,565.53,959.77,79.98,416.4,2408.67
"011090-6",124.9,190.49,701.44,0,183.56,1200.39
"011091-4",693.5,1002.56,1309.04,18.87,990.25,4014.22
"011092-2",524.78,683.6,1239.31,31.36,573.56,3052.61
"011093-0",783.13,695.8,736.94,31.54,811.72,3059.13
"011094-9",685.03,503.19,644.21,77.64,741.54,2651.61
"011095-7",526.06,632.4,512.64,104.2,557.59,2332.89
"011096-5",341.93,680.04,564.17,67.62,429.32,2083.08
"011096-6",0,0,0,0,0,0
"011097-3",629.41,498.36,595.25,21.79,395.82,2140.63
"011098-1",871.54,0,1300.15,0,286.5,2458.19
"011099-0",899.19,503.6,818.45,59.91,280.73,2561.88
"011100-0",0,0,0,0,0,0
"011100-7",1033.28,586.02,1788.2,240.6,362.22,4010.32
"011101-5",290.29,132.49,0,0,417.77,840.55
"011102-3",1332.42,997.54,1348.78,0,1052.89,4731.63
"011103-1",712.05,1000.9,977.46,24.73,728.94,3444.08
"011104-0",319.59,471,738.22,0,166.93,1695.74
"011105-8",170.78,139.36,168.72,0,231.76,710.62
"011106-6",867.83,683.05,456.51,0,822.78,2830.17
"011107-4",290.31,533.93,956.73,0,337.76,2118.73
"011108-2",1093.92,654.1,837.63,0,646.43,3232.08
"011109-0",914.99,1141.79,1158.57,58.1,823.67,4097.12
"011110-4",681.65,687.38,310.65,0,555.82,2235.5
"011111-2",582.87,867.06,806.56,0,578.07,2834.56
"011112-0",946.54,137.4,883.68,0,226.73,2194.35
"011113-9",75.81,600.49,2360.02,0,840.99,3877.31
"011114-7",561.85,333.83,226.7,0,222.85,1345.23
"011115-5",493.06,844.51,1285.89,100.54,924.25,3648.25
"011116-3",866.97,840.51,974.02,23.38,917.89,3622.77
"011117-1",1764.44,3049.46,2166.56,118.36,2430.49,9529.31
"011118-0",333.63,1032.75,746.28,0,629.06,2741.72
"011118-8",0,0,0,0,0,0
"011119-8",603.8,1533.41,1057.48,1.3,798.57,3994.56
"011120-1",1566.12,1885.12,1564.76,0,666.01,5682.01
"011121-0",748.79,663.45,1151.77,0,466.41,3030.42
"011122-8",0,156.57,338.33,0,68.4,563.3
"011123-6",151.39,320.56,135.5,0,150.83,758.28
"011124-4",276.82,379.47,280.52,0,93.68,1030.49
"011126-0",118.68,336.63,863.26,0,155.96,1474.53
"011127-9",156.43,283.68,311.41,0,111.09,862.61
"011128-7",0,340.13,601.84,0,228.48,1170.45
"011129-5",706.57,489.89,504.24,0,542.2,2242.9
"011130-9",596.23,1108.98,893.1,44.46,715.03,3357.8
"011131-7",461.45,240.12,392.49,0,318.49,1412.55
"011132-5",938.08,1154.54,807.18,0,486.12,3385.92
"011133-3",147.86,304.99,595.9,0,420.61,1469.36
"011134-1",0,0,0,0,0,0
"011135-0",0,132.32,314.69,0,473.74,920.75
"011136-8",0,329.26,1264.73,0,59.34,1653.33
"011137-6",0,0,0,0,0,0
"011138-4",698.14,2203.95,1576.54,6.92,727.85,5213.4
"011139-2",0,843.8,720.46,0,243.66,1807.92
"011140-6",757.61,611.41,720.81,0,845.85,2935.68
"011141-4",0,0,0,0,26.95,26.95
"011142-2",232.39,863.29,394.34,0,173.73,1663.75
"011143-0",239.1,944.21,988.58,119.24,642.66,2933.79
"011144-9",1689.74,917.42,861.65,0,948.99,4417.8
"011145-7",521.09,1152.23,506.34,0,561.13,2740.79
"011146-5",319.2,549.63,958.2,0,292.29,2119.32
"011147-3",0,841.51,0,0,22.4,863.91
"011148-1",0,0,0,0,40.4,40.4
"011149-0",0,763.31,718.02,0,78.94,1560.27
"011150-0",0,0,0,0,0,0
"011150-3",0,307.42,0,0,72.1,379.52
"011151-1",0,225.48,309.53,0,127.59,662.6
"011152-0",0,0,0,0,91.26,91.26
"011153-8",678.26,232.51,0,0,81.56,992.33
"011154-6",1567.59,1015.7,1547.35,0,154.72,4285.36
"011155-4",0,372.01,0,0,80.15,452.16
"011156-2",422.67,1176.68,795.94,0,424.95,2820.24
"011157-0",372.63,1061.13,787.73,0,376.83,2598.32
"011158-9",38.21,460.37,430.55,0,131.8,1060.93
"011159-7",0,343.07,0,0,164.36,507.43
"011160-0",0,839.17,0,0,172.33,1011.5
"011161-9",558.44,398.45,255.04,0,339.86,1551.79
"011162-7",717.23,1195.57,484.18,0,141.89,2538.87
"011163-5",453.47,1728.19,897.13,0,457.15,3535.94
"011164-3",312.6,1098.06,563.42,0,126.13,2100.21
"011165-1",251.68,756.16,975.81,0,84.12,2067.77
"011166-0",726.83,1919.93,1041.55,0,294.26,3982.57
"011167-8",0,4366.52,0,0,0,4366.52
"011168-6",0,504.86,0,0,170.78,675.64
"011169-4",348.36,1329.69,931.24,36.2,369.78,3015.27
"011170-8",329.1,987.18,356.44,0,353.99,2026.71
"011171-6",417.64,544.98,671.7,0,200.92,1835.24
"011172-4",191.45,569.99,376.29,0,107.23,1244.96
"011173-2",179.32,436.78,949.77,37.7,238.55,1842.12
"011174-0",0,1170.08,0,0,70.28,1240.36
"011175-9",202.03,481.25,193.64,0,45.78,922.7
"011176-7",0,321.85,0,0,33.93,355.78
"011177-5",0,629.81,0,0,33.46,663.27
"011178-3",0,1069.24,0,0,81.88,1151.12
"011179-1",1108.62,498.79,0,0,38.69,1646.1
"011180-5",536.21,778.41,924.65,0,217.44,2456.71
"011181-3",461.37,982.17,568.68,0,241.57,2253.79
"011182-1",210.75,1022.47,788.49,0,103.48,2125.19
"011183-0",0,296.63,0,0,103.63,400.26
"011184-8",0,731.22,0,0,73.65,804.87
"011185-6",559.38,71.51,0,0,275.75,906.64
"011186-4",0,777.22,1027.11,0,155.83,1960.16
"011187-2",0,1134.33,400.12,0,114.8,1649.25
"011188-0",0,1399.35,522.58,0,207.02,2128.95
"011189-9",0,0,0,0,20.46,20.46
"011190-2",77.88,591.19,568.73,0,103.45,1341.25
"011191-0",0,839.47,516.65,0,121.39,1477.51
"011192-9",0,485.81,0,0,8.1,493.91
"011193-7",0,1045.81,804.63,0,164.45,2014.89
"011194-5",0,196.14,814.19,0,40.67,1051
"011195-3",0,328.03,0,0,47.89,375.92
"011196-1",0,540.42,799.13,0,50.44,1389.99
"011197-0",0,720.77,0,0,49.74,770.51
"011198-8",0,440.63,432.68,0,29.07,902.38
"011199-6",86.17,335.69,308.71,0,37.91,768.48
"011200-3",0,87.7,0,0,17.53,105.23
"011201-1",0,866.55,193.57,0,44.91,1105.03
"011202-0",0,664.44,0,0,6.76,671.2
"011203-8",0,1378.78,0,0,64.89,1443.67
"011223-3",0,0,0,0,0,0
"011371-1",0,0,0,0,0,0
"011410-0",0,0,1416.14,0,0,1416.14
"011428-8",0,0,0,0,0,0
"011436-6",0,0,0,0,0,0
"011452-2",0,0,0,0,0,0
"011460-0",0,0,0,0,0,0
"011495-5",0,0,0,0,0,0
"011509-9",0,0,2471.37,0,0,2471.37
"011517-7",0,0,0,0,0,0
"011525-5",0,0,0,0,0,0
"011533-3",0,0,0,0,0,0
"011541-1",0,500.97,0,0,0,500.97
"011568-8",0,0,0,0,0,0
"011576-6",0,0,0,0,0,0
"011584-4",0,0,0,0,0,0
"011592-2",0,2743.56,10757.33,0,0,13500.89
"011614-4",201.91,180.27,565.53,36.32,0,984.03
"011622-2",194.8,155.57,614.87,0,0,965.24
"011630-0",0,0,0,0,0,0
"011657-7",0,0,0,0,0,0
"011665-5",0,0,0,0,0,0
"011673-3",0,0,0,0,0,0
"011690-0",0,0,0,0,0,0
"011703-3",0,0,0,0,0,0
"011711-1",0,0,0,0,0,0
"011720-0",0,0,0,0,0,0
"011738-8",0,0,0,0,0,0
"011754-4",221.52,187.7,601.96,62.09,0,1073.27
"011762-2",0,150.09,0,0,0,150.09
"011770-0",11.1,229.29,475.01,0,0,715.4
"011789-9",0,0,0,0,0,0
"011797-7",0,0,0,0,0,0
"011800-0",0,0,0,0,0,0
"011835-5",0,0,0,0,0,0
"011843-3",0,0,0,0,0,0
"011878-8",0,0,0,0,0,0
"011894-4",0,0,0,0,0,0
"011908-8",0,217.48,0,0,0,217.48
"011916-6",0,0,0,0,0,0
"011924-4",0,0,0,0,0,0
"011932-2",0,0,29425.16,0,0,29425.16
"011940-0",0,0,0,0,0,0
"011959-9",0,0,0,0,0,0
"011967-7",0,1171.52,0,0,0,1171.52
"011975-5",0,0,0,0,0,0
"011983-3",0,0,0,0,0,0
"011991-1",0,0,0,0,0,0
"012001-4",0,0,0,0,0,0
"012002-2",0,0,0,0,0,0
"012003-0",0,0,0,0,0,0
"012004-9",0,0,0,0,368.13,368.13
"012005-7",0,0,0,0,3.98,3.98
"012006-5",0,0,0,0,0,0
"012007-3",0,0,0,0,0,0
"012008-1",0,106.81,0,0,11.73,118.54
"012009-0",0,0,0,0,0,0
"012010-3",0,0,0,0,0,0
"012011-1",0,0,0,0,0,0
"012013-8",0,0,0,0,0,0
"012015-4",0,0,0,0,346.48,346.48
"012033-3",0,0,0,0,0,0
"012041-1",0,0,0,0,0,0
"012050-0",0,0,0,0,0,0
"012068-8",0,0,0,0,0,0
"012076-6",280.7,142.48,410.31,0,0,833.49
"012084-4",706.91,231.14,0,0,0,938.05
"012106-6",0,0,0,0,0,0
"012114-4",550.2,151.75,0,0,0,701.95
"012122-2",0,0,0,0,0,0
"012130-0",0,0,448.08,0,0,448.08
"012149-9",0,1022.24,0,0,0,1022.24
"012157-7",0,0,2930.45,0,0,2930.45
"012165-5",672.48,130.14,134.47,0,0,937.09
"012173-3",0,0,0,0,0,0
"012181-1",2546.71,1237.85,0,0,0,3784.56
"012190-0",0,0,0,0,0,0
"012211-1",229.21,299.62,738.21,109.12,0,1376.16
"012220-0",133.36,134.2,158.53,0,0,426.09
"012238-8",471.37,353.69,432.74,0,0,1257.8
"012246-6",592.85,665.56,1213.8,0,0,2472.21
"012254-4",207.91,414.77,627.68,0,0,1250.36
"012262-2",0,0,0,0,0,0
"012289-9",668.55,135.32,0,0,0,803.87
"012297-7",0,0,0,0,0,0
"012300-0",0,0,0,0,0,0
"012319-9",0,536.65,0,0,0,536.65
"012327-7",0,69.2,0,0,0,69.2
"012335-5",0,213.9,374.64,0,0,588.54
"01234-3 ",0,0,0,0,0,0
"012343-3",493.7,239.55,0,0,0,733.25
"012351-1",0,195.07,0,0,0,195.07
"012360-0",0,0,0,0,0,0
"012378-8",0,0,0,0,0,0
"012386-6",317.09,182.51,238.16,0,0,737.76
"012394-4",336.51,116.94,0,277.33,0,730.78
"012408-8",0,0,0,0,0,0
"012416-6",729.88,481.13,428.7,0,0,1639.71
"012424-4",501.99,70.49,363.05,0,0,935.53
"012440-0",0,0,0,0,0,0
"012459-9",0,0,932.86,0,0,932.86
"012467-7",0,269.14,215.14,0,0,484.28
"012483-3",0,310.65,788.04,0,0,1098.69
"012491-1",0,357.82,233.45,0,0,591.27
"012491-2",0,0,0,0,0,0
"012505-5",0,0,0,0,0,0
"012513-3",0,0,778.66,0,0,778.66
"012556-6",153.27,419.59,648.64,0,0,1221.5
"012564-4",385.07,165.14,754.63,0,0,1304.84
"012572-2",144.7,305.45,209.59,0,0,659.74
"012580-0",861.69,0,0,0,0,861.69
"012599-9",0,764.08,0,0,0,764.08
"012602-2",577.49,76.73,0,0,0,654.22
"012610-0",0,0,0,0,0,0
"012629-9",77.79,284.77,265.95,87.16,0,715.67
"012637-7",490.22,336.45,572.1,0,0,1398.77
"012645-5",0,117.47,0,0,0,117.47
"012653-3",158.12,128.27,733.51,0,0,1019.9
"012661-1",4.49,26.85,410.12,0,0,441.46
"012670-0",331.9,270.72,388.31,7.53,0,998.46
"012688-8",0,0,0,0,0,0
"012696-6",454.62,154.07,485.33,0,0,1094.02
"012718-8",0,517.79,0,0,0,517.79
"012726-6",194.8,270.03,370.77,147.59,0,983.19
"012734-4",150.46,125.4,626.54,0,0,902.4
"012742-2",0,180.1,1438.62,0,0,1618.72
"012750-0",0,0,0,0,0,0
"012769-9",0,883.35,0,0,0,883.35
"012777-7",679.51,537.91,336.48,0,0,1553.9
"012785-5",0,0,0,0,0,0
"012793-3",0,0,0,0,0,0
"012807-7",339.52,271.78,397.27,0,0,1008.57
"012815-5",0,517.19,1183.79,0,0,1700.98
"012822-2",0,0,0,0,0,0
"012823-3",0,702.9,872.71,0,0,1575.61
"012831-1",0,478.58,1146.12,0,0,1624.7
"012840-0",0,0,0,0,0,0
"012858-8",2400.35,0,0,0,0,2400.35
"012866-6",0,262.81,0,0,0,262.81
"012874-4",1755.02,63.31,1623.95,0,0,3442.28
"012882-2",0,598.85,2715.48,0,0,3314.33
"012890-0",1538.16,414.41,3511.99,0,0,5464.56
"012904-4",0,0,0,0,0,0
"012912-2",583.67,464.32,655.68,0,0,1703.67
"012920-0",0,381.25,524.95,0,0,906.2
"012939-9",134.75,472.93,117.88,115.53,0,841.09
"012947-7",0,0,0,0,0,0
"012971-1",0,0,0,0,0,0
"013001-0",0,0,0,0,0,0
"013002-8",0,0,0,0,0,0
"013003-6",0,0,0,0,134.52,134.52
"013004-4",0,0,0,0,19.55,19.55
"013005-2",0,0,0,0,29.63,29.63
"013005-5",0,0,0,0,0,0
"013006-0",0,0,0,0,79.2,79.2
"013007-9",0,0,0,288.77,28.76,317.53
"013008-7",0,0,0,0,58.25,58.25
"013011-7",0,0,0,0,0,0
"013013-3",0,0,0,0,0,0
"013014-1",0,0,0,0,0,0
"013018-4",0,0,0,0,45.51,45.51
"013019-2",0,0,898.81,871.36,44.75,1814.92
"013020-6",0,0,0,0,94.6,94.6
"013021-1",0,182.53,0,0,0,182.53
"013021-4",0,0,0,0,0,0
"013022-2",0,0,0,0,12.08,12.08
"013023-0",0,0,0,0,86.04,86.04
"013024-9",1731.58,317.12,1045.03,225.29,393.77,3712.79
"013025-7",1680.63,139.07,1700.14,0,127.69,3647.53
"013026-5",0,0,0,0,13.94,13.94
"013027-3",1232.13,239.48,1222.88,368.06,448.68,3511.23
"013029-0",1251.15,533.43,722.41,0,504.29,3011.28
"013030-0",171.36,320.58,356.07,0,0,848.01
"013030-3",889.99,168.22,592.13,0,428.74,2079.08
"013031-1",754.4,1593.69,2797.2,1.29,1540.91,6687.49
"013032-0",376.78,912.47,1268.2,0,1049.02,3606.47
"013033-8",2037.58,1474.75,4067.91,0,1094.89,8675.13
"013034-6",41.85,1109.68,3565.06,731.56,350.72,5798.87
"013035-4",848.26,917.86,797.38,0,307.29,2870.79
"013036-2",530.79,1173.98,1052.93,0,446.57,3204.27
"013037-0",882.6,574.98,818.27,967.53,1247.82,4491.2
"013038-9",0,1609.01,0,0,204.84,1813.85
"013048-8",0,384.12,0,0,0,384.12
"013056-6",322.32,359.43,453.35,29.89,0,1164.99
"013064-4",0,61.52,499.9,0,0,561.42
"013072-2",104.85,264.64,420.39,0,0,789.88
"013080-0",0,0,0,0,0,0
"013099-9",255.91,181.45,392.67,0,0,830.03
"013102-2",270.88,177.85,317.55,0,0,766.28
"013110-0",3451.52,0,0,0,0,3451.52
"013129-9",0,0,0,0,0,0
"013137-7",230.43,319.76,313.12,90.55,0,953.86
"013145-5",81.95,432.23,616.36,0,0,1130.54
"013153-3",364.61,337.72,0,0,0,702.33
"013161-1",397.49,538.49,143.09,0,0,1079.07
"013170-0",0,0,0,0,0,0
"013188-8",0,0,0,0,0,0
"013196-6",0,1480.6,0,0,0,1480.6
"013218-8",1809.03,673.69,0,0,0,2482.72
"013226-6",0,420.58,0,0,0,420.58
"013234-4",0,0,0,0,0,0
"013242-2",184.36,271.02,232.04,0,0,687.42
"013250-0",0,312.49,0,0,0,312.49
"013269-9",0,0,0,0,0,0
"013277-7",0,412.83,0,0,0,412.83
"013285-5",0,204.7,0,0,0,204.7
"013293-3",0,0,0,0,0,0
"013307-7",0,0,0,0,0,0
"013315-5",948.39,245.46,237.25,0,0,1431.1
"013323-3",1130.47,367.84,281.18,0,0,1779.49
"013340-0",0,0,0,0,0,0
"013358-8",0,0,0,0,0,0
"013366-6",404.97,330.18,0,0,0,735.15
"013374-4",408.12,453.07,0,0,0,861.19
"013382-2",0,0,0,0,0,0
"013390-0",0,0,0,0,0,0
"013404-4",0,311.08,0,0,0,311.08
"013412-2",199.98,363.47,184.94,0,0,748.39
"013420-0",0,159.26,0,0,0,159.26
"013439-9",278.75,156.36,447.39,145.04,0,1027.54
"013447-7",0,0,0,0,0,0
"013455-5",0,0,0,0,0,0
"013463-3",0,0,0,0,0,0
"013471-1",0,0,0,0,0,0
"013480-0",0,0,0,0,0,0
"013498-8",0,0,0,0,0,0
"013501-1",0,0,0,0,0,0
"013510-0",0,0,0,0,0,0
"013528-8",0,166.88,0,0,0,166.88
"013536-6",0,0,0,0,0,0
"013544-4",0,128.44,1406.03,0,0,1534.47
"013552-2",2626.83,0,0,0,0,2626.83
"013560-0",0,118.47,0,0,0,118.47
"013579-9",0,92.56,612.24,0,0,704.8
"013587-7",0,0,0,0,0,0
"013595-5",0,0,0,0,0,0
"013609-9",0,0,0,0,0,0
"013617-7",0,301.33,800.88,0,0,1102.21
"013625-5",0,1589.74,0,0,0,1589.74
"013633-3",0,198.86,0,0,0,198.86
"013641-1",0,412.04,0,0,0,412.04
"013650-0",0,377.41,0,0,0,377.41
"013668-8",0,0,0,0,0,0
"013676-6",0,55.59,0,0,0,55.59
"013692-2",0,0,0,0,0,0
"013706-6",634.42,407.31,310.07,0,0,1351.8
"013714-4",0,223.78,0,0,0,223.78
"013722-2",347.2,419.34,0,0,0,766.54
"013730-0",3344.08,85.46,0,0,0,3429.54
"013749-9",0,726.86,0,0,0,726.86
"013757-7",0,0,0,0,0,0
"013765-5",0,0,0,0,0,0
"013773-3",0,126.13,586.03,0,0,712.16
"013781-1",699.53,476.06,461.83,0,0,1637.42
"013790-0",143.72,579.81,157.97,137.91,0,1019.41
"013803-3",29.35,186.24,849.37,0,0,1064.96
"013811-1",0,267.83,1526.49,0,0,1794.32
"013820-0",0,0,0,0,0,0
"013838-8",0,0,0,0,0,0
"013846-6",0,0,0,0,0,0
"013854-4",0,0,0,0,0,0
"013862-2",0,0,0,0,0,0
"013870-0",0,237.14,0,0,0,237.14
"013889-9",483.46,534.95,974.33,0,0,1992.74
"013897-7",181.33,360.49,0,0,0,541.82
"013900-0",0,317.4,889.58,0,0,1206.98
"013919-9",0,271.15,529.6,0,0,800.75
"013927-7",0,0,0,0,0,0
"013935-5",0,0,0,0,0,0
"013943-3",0,686.07,0,0,0,686.07
"013951-1",0,0,0,0,0,0
"013960-0",0,0,9715.86,0,0,9715.86
"013978-8",0,0,0,0,0,0
"013986-6",0,0,0,0,0,0
"013994-4",1297.91,0,1261.25,0,0,2559.16
"014001-1",0,0,0,0,0,0
"014001-5",0,0,0,0,281.91,281.91
"014002-3",0,168.13,0,0,139.42,307.55
"014003-1",0,0,250.75,0,60.53,311.28
"014004-0",0,0,0,0,82.37,82.37
"014005-8",0,0,0,0,253.08,253.08
"014006-6",0,0,0,0,72.64,72.64
"014007-4",0,0,0,0,89.5,89.5
"014008-2",0,0,0,0,52.17,52.17
"014009-0",0,0,0,0,34.62,34.62
"014010-0",0,0,0,0,0,0
"014010-4",0,0,0,0,98.24,98.24
